"","x"
"20",1
"2003",1
"21",4
"21세기",1
"25일대통령",1
"3국에만",1
"4강",1
"50",1
"5분의1을",1
"가난",1
"가능",1
"가장빨리",1
"각국",1
"갈림길",1
"감사",4
"갑시",1
"강구",2
"강국",1
"강요",1
"강조",1
"강화",1
"개발",4
"개방화",1
"개선",3
"개척",1
"개혁",3
"개혁해기업하기",1
"건강",1
"건강하고미래지향적이어야",1
"건설",1
"것인지체제안전과경제지원을약속받을",1
"것처럼먼",1
"격차",1
"결단",1
"결의",1
"결정",1
"경제",7
"경축",1
"계승",1
"계층간",1
"계획",1
"계획을포기해야",1
"고급",1
"고령",1
"고속철도",1
"고조",2
"고통",1
"공동번영",1
"공동체",2
"공생",1
"공정",2
"공조",1
"과제",4
"과학",2
"관계",2
"관문으로새롭게태어나야",1
"관심",1
"괄목",1
"광범위",1
"교류",1
"교육",1
"교육과",1
"구비",1
"구조적",1
"구현",1
"국가",4
"국가목표",1
"국리민복",1
"국민",17
"국민이힘을합치면못할",1
"국민통합",1
"국정운영",1
"국제",1
"국제협력",1
"군사적",1
"굴절",1
"귀빈",1
"규모",1
"균형발전",2
"그런날이",1
"극복",5
"근대",1
"금융",1
"기반",3
"기본적",1
"기술",2
"기억",1
"기적",1
"기차표",1
"기초",1
"기회",3
"기회로만드는지혜가",1
"기회주의자",1
"긴밀",1
"긴박",1
"긴장",1
"긴장이냐",1
"김대중",1
"나라",2
"나아",1
"남북한",1
"내부",1
"내실화",1
"내외",1
"냉전",1
"넷째대내외적",1
"노력",3
"노력을기울였습니",1
"노사",1
"노사화합",1
"노약자",1
"농경시대",1
"농어",1
"농어민",1
"뉴스",1
"다리",1
"당당",1
"당리당략",1
"당사자",1
"대결과갈등이아니라",1
"대다수",1
"대륙",1
"대안",1
"대외",1
"대책",1
"대통령",3
"대통령선거의모든과정을",1
"대한민국",2
"대화",6
"도래",2
"도약",2
"도약이냐후퇴냐",1
"도전",4
"도정",1
"도착",1
"독자",1
"동력",2
"동력이고통합은",1
"동북",5
"동북아",8
"동북아가이제",1
"동북아에번영",1
"동북아와",1
"동안",2
"동참",1
"되풀이",1
"두뇌",1
"둘째상호신뢰를",1
"득세",1
"들이",3
"디딤돌",1
"딛고반세기만에",1
"따뜻한사회를",1
"러시아",1
"로발전해야",1
"로운",1
"마음",2
"마지막",1
"명복",1
"명운을",1
"모두",1
"모색",1
"목표",1
"목표로가기",1
"문제",5
"문화",3
"물류",2
"미국일본과",1
"미래",3
"민족",1
"민주주의",1
"민주주의더불어사는",1
"바다",2
"바탕으로국민과",1
"반칙",1
"발신",1
"발전",5
"발전시키면서정책",1
"발휘",1
"방식",1
"방치",1
"번영",3
"번째",1
"변방",2
"보람",1
"보유",1
"보장",1
"복지정책",1
"부산",1
"부응",1
"부정부패",1
"북한",4
"북한은",2
"북한이",2
"북한핵",1
"분권",1
"분단",1
"분야",1
"불안",1
"불행",2
"비롯",6
"비상",1
"비전",1
"빌려대구",1
"빌면서유가족",1
"사람",2
"사람들",1
"사이",1
"사절",1
"사회",7
"사회지도층",1
"산업",1
"상황",1
"새정부",1
"석학",1
"선조",1
"선진국",1
"선택",1
"선택으로저는",1
"설계하고중앙은",1
"성공",1
"성공적으로진입했습니",1
"성과",1
"성숙",1
"성실",1
"성장",4
"성찰",1
"세계",12
"세계기준에맞게",1
"세계사적",1
"세월",1
"세제",1
"셋째남북",1
"소득격차",1
"소명을국민여러분과",1
"소외",1
"소질",1
"소홀",1
"수도권",1
"숙제",1
"시대",12
"시대를맞아",1
"시장",1
"신뢰",1
"신뢰사회를만듭시",1
"신산업",1
"신화",1
"실천",1
"심심",1
"아시",1
"아의",4
"아이",1
"안보",1
"안전",2
"않게재난관리체계를",1
"야당",1
"약속",2
"양성",1
"언젠가는평화",1
"업과",1
"여러분",8
"여러분고이즈미",1
"여러분동북아",1
"여러분오늘",1
"여러분오랜",1
"여러분우리",1
"여러분이제",1
"여러분진정한",1
"역사",4
"역할",1
"연결",1
"연속",1
"연합",1
"열강",1
"열고한반도에",1
"영광스러운책임을",1
"영역",1
"예측",1
"오늘",4
"올리면서이",1
"올해",1
"완성",1
"완수",1
"완화",1
"외환",1
"외환위기를초래했던제반",1
"요구",2
"요망",1
"요인",1
"용납",1
"용인",1
"우려",1
"우리",28
"우리는새로운",1
"우리는평화를지키고더욱",1
"우선",2
"운명을스스로",1
"운영",1
"웅비",1
"원칙",3
"원활",1
"월드컵",1
"위대",2
"위로",1
"위치",1
"위해",1
"위해서도사회",1
"위협",1
"유라시아",1
"유럽",1
"유럽연합",3
"유산",1
"육성",1
"을몇가지원칙을",1
"을모",1
"의존",1
"의혹",1
"이겨내고반만년",1
"이라크",1
"이럴수록",1
"이룩하고이를",1
"이상",1
"이후",2
"인구",1
"인사",1
"인천공항부산항광양항과",1
"일류",1
"일본대륙과",1
"일본총리",1
"일상적인일처럼빈번해졌습니",1
"입국",1
"입시지옥",1
"자랑",1
"자리",3
"자신",2
"자율",1
"자율적",1
"자존",1
"저는그동안",1
"저력",3
"저마다",1
"적극",1
"전기",1
"전략",1
"전면",1
"전쟁",1
"전통우방",1
"전환점",1
"점검",1
"정보화",2
"정부",3
"정세",1
"정의",1
"정정",1
"정직",1
"정착",1
"정착시키려면우리",1
"정책의추진과정에서는",1
"정치",1
"정치가",1
"정치문화",1
"정치풍토",1
"제16대",1
"제공",1
"제도",3
"조건",1
"조상",1
"조성",1
"조치",1
"조화와균형을",1
"존경",3
"종류의불합리한",1
"좌표",1
"주년",1
"주도",1
"주인",1
"준비",1
"준이치로",1
"중국",1
"중국과",1
"중대",1
"중심",2
"중심국가",1
"중심지로",1
"중앙",2
"중요",1
"증진",2
"지구상",1
"지금",1
"지난날",1
"지난해",1
"지대",2
"지방",2
"지방분권",1
"지속",2
"지식",1
"지식정보",1
"지역",1
"지역구도",1
"지원",1
"지정학적",1
"지하철",1
"지향",1
"지혜",2
"직면",1
"진정",1
"질서가동북아에도구축되게하는",1
"집권",1
"집중",1
"차별",1
"차지",1
"참사",1
"참석",1
"참여",2
"창의력",2
"창조",1
"창출",1
"첫째",1
"청산",1
"초당",1
"최선",1
"최선을다하",1
"추격",1
"추구",1
"추진",3
"출발",1
"취임",1
"크게기여해",1
"타협",3
"탕평",1
"태평",1
"통합",1
"통합을위한지속적",1
"투명",2
"투명성",1
"투자",1
"특권",1
"파리행",1
"패배",1
"평등사회",1
"평양신의주중국몽골러시아를거쳐",1
"평화",13
"포기한다면국제사회는",1
"포함",1
"풍토",1
"필요",1
"하게",4
"하기",2
"하는평화번영정책",1
"하늘",2
"한고",1
"한미동맹",1
"한미동맹은",1
"한미동맹을",1
"한반도",1
"한반도가",2
"한반도를",1
"한반도에",2
"한반도에서",1
"한복판",1
"함께하는평화번영정책",1
"함양하고문화산업",1
"합의",1
"해결",1
"해결되도록우리는",1
"해방",1
"해양",1
"핵무기",2
"혁신",1
"혁신해제2",1
"현서울",1
"현실",1
"현안",1
"협력",2
"협력을얻겠습니",1
"형태",1
"호혜주의",1
"호혜평등",1
"혼신",1
"확대",2
"확충",1
"환경",1
"활력",1
"획기적",1
"후발",1
"후손",1
"훗날",1
"희생자",1
